,Store / Vendor, Amount,Expense Category,Notes (Optional),,Date (MM-DD-YYYY)
,self,50,Pocket Money,Pizza,expense,2024-05-20
,self,76,Pocket Money,Food,expense,2024-05-22
,Self,100,Pocket Money,,expense,2024-05-22
,Self,100,Pocket Money,,expense,2024-05-23
,self,150,Travel,Transportation to kumasi,expense,2024-05-23
,self,40,Other,Haircut,expense,2024-05-25
,self,40,Other,Transportation within Kumasi,expense,2024-05-26
,self,500,Restaurant,Restaurant,expense,2024-05-26
,Akosua,15,Other,Data,expense,2024-05-26
,self,150,Other,Kedia and Clinton,expense,2024-05-27
,self,100,Pocket Money,,expense,2024-05-27
,Tordman,100,Gifts,,expense,2024-05-29
,Akosuah,510,Gifts,,expense,2024-05-30
,Utility,100,Utilities,,expense,2024-05-30
,self,500,Food,,expense,2024-05-30
,self,100,Pocket Money,,expense,2024-05-31
,self,66,Emergency payment,Documents Printing,expense,2024-06-01
,self,30,Emergency payment,Passport pics,expense,2024-06-02
,self,30,Travel,Transport to work,expense,2024-06-02
,self,40,Emergency payment,Bank statement charge,expense,2024-06-03
,self,35,Food,Jollof,expense,2024-06-04
,self,100,Pocket Money,,expense,2024-06-04
,self,182,Emergency payment,Pollo shirt,expense,2024-06-06
,self,250,Emergency payment,AR Spectacle,expense,2024-06-06
,Self,100,Pocket Money,,expense,2024-06-07
,Akosuah,200,Gifts,,expense,2024-06-11
,self,130,Food,,expense,2024-06-15
,Akosuah,287,Gifts,,expense,2024-06-29
,Self,200,Pocket Money,,expense,2024-07-03
,Aaron,200,Gifts,,expense,2024-07-06
,Gallery,"2,240",Going out,Vacation,expense,2024-07-07
,Akosuah,352,Gifts,Transport from to Kumasi,expense,2024-07-07
,Groceries,153,Groceries,Mall,expense,2024-07-08
,Food,222,Food,Vida Caf�,expense,2024-07-08
,Botanical Garden,300,Going out,,expense,2024-07-08
,Self,100,Food,,expense,2024-07-09
,Akosuah,300,Gifts,,expense,2024-07-09
,self,100,Pocket Money,,expense,2024-07-10
,self,100,Pocket Money,,expense,2024-07-12
,Utility,100,Utilities,,expense,2024-07-14
,Food,400,Food,,expense,2024-07-14
,self,100,Pocket Money,,expense,2024-07-14
,self,40,Food,,expense,2024-07-15
,self,100,Pocket Money,,expense,2024-07-19
,self,210,Impulse buying,Website logo,expense,2024-07-20
,self,100,Pocket Money,,expense,2024-07-21
,self,100,Impulse buying,Website domain,expense,2024-07-22
,self,100,Pocket Money,,expense,2024-07-25
,self,100,Pocket Money,,expense,2024-07-27
